"Source:","C:\Users\ASC_Student\hps\Clock Schema (With proper dimensions)\Clock\Clock.kicad_sch"
"Date:","7/2/2022 1:41:38 PM"
"Tool:","Eeschema (6.0.5)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","41"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Dielectric","Digikey PN","MFG","MPN","Mouser PN","Power","Tolerance","Voltage"
"5","2","C5, C6","22p","HPS:C_0805_22pf","footprints:C_0805_2012Metric","https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-GP_NP0_16V-to-50V_18.pdf","N/A","311-1103-1-ND","Yageo","CC0805JRNPO9BN220","N/A","","N/A","N/A"
"6","1","C11","100n","HPS:C_0805_0.1uf","footprints:C_0805_2012Metric","https://datasheets.avx.com/X7RDielectric.pdf","N/A","478-1395-1-ND","AVX Corporation","08055C104KAT2A","N/A","","N/A","N/A"
"7","2","D1, D2","KWM-30881CVB","HPS:KWM-30881CVB","footprints:KWM-30881CVB","https://cdn-shop.adafruit.com/datasheets/KWM-30881XVB.pdf","","N/A","Adafruit","KWM-30881CVB","N/A","","",""
"8","4","H1, H2, H3, H4","MountingHole","HPS:MountingHole","footprints:MountingHole_3.2mm_M3","~","","","","","","","",""
"9","1","J1","PJ-102AH","HPS:PJ-102AH","footprints:PJ-102AH","https://www.cuidevices.com/product/resource/pj-102ah.pdf","","CP-102AH-ND","CUI Devices","PJ-102AH","490-PJ-102AH","","",""
"10","1","J2","Conn_01x06","HPS:Conn_01x06","footprints:PinHeader_1x06_P2.54mm_Vertical","https://www.we-online.de/katalog/datasheet/6130xx11121.pdf","","732-5319-ND","Würth Elektronik","61300611121","N/A","","",""
"11","1","R1","10KΩ","HPS:R_0805_10K","footprints:R_0805_2012Metric","https://www.digikey.com/en/products/detail/yageo/RC0805FR-0710KL/727535","","311-10.0KCRCT-ND","Yageo","RC0805FR-0710KL","N/A","N/A","N/A",""
"12","3","R2, R3, R10","R_0805_200","HPS:R_0805_1K","footprints:R_0805_2012Metric","https://www.digikey.com/en/products/detail/yageo/RC0805FR-071KL/727444","","RC0805FR-0710KL","Yageo","RC0805FR-071KL","N/A","N/A","N/A",""
"13","2","R4, R5","R_0805_10K","HPS:R_0805_10K","footprints:R_0805_2012Metric","https://www.digikey.com/en/products/detail/yageo/RC0805FR-0710KL/727535","","311-10.0KCRCT-ND","Yageo","RC0805FR-0710KL","N/A","N/A","N/A",""
"14","2","R6, R8","R_0805_22K","HPS:R_0805_22K","footprints:R_0805_2012Metric","https://www.digikey.com/en/products/detail/yageo/RC0805FR-0722KL/727736","","311-22.0KCRCT-ND","Yageo","RC0805FR-0722KL","N/A","N/A","N/A",""
"15","2","R7, R9","R_0805_4.7K","HPS:R_0805_4.7K","footprints:R_0805_2012Metric","https://www.digikey.com/en/products/detail/yageo/RC0805FR-074K7L/727929","","311-4.70KCRCT-ND","Yageo","RC0805FR-074K7L","N/A","N/A","N/A",""
"16","1","RV1","R_POT_10K","HPS:R_POT_10K","footprints:Potentiometer_Bourns_3386P_Vertical","https://www.bourns.com/docs/Product-Datasheets/3386.pdf","","3386P-103TLF-ND","Bourns Inc.","3386P-1-103TLF","N/A","","",""
"17","1","SW1","RotaryEncoder_Switch","HPS:RotaryEncoder_Switch","footprints:RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm_CircularMountingHoles","~","","","","","","","",""
"18","1","SW2","Omron_B3F_SPST","HPS:Omron_B3F_SPST","footprints:SW_SPST_Omron_B3FS-100xP","https://omronfs.omron.com/en_US/ecb/products/pdf/en-b3fs.pdf","","SW423CT-ND","Omron Electronics Inc-EMC Div","B3FS-1000P","N/A","","",""
"19","1","U1","WH2004A-CFH-JT#","HPS:WH2004A-CFH-JT#","footprints:WH2004A-CFH-JT#","http://www.newhavendisplay.com/specs/NHD-0420H1Z-FSW-GBW-33V3.pdf","","1528-1508-ND","Adafruit Industries LLC","499","N/A","","",""
"20","1","U2","ATmega328-PU","HPS:ATmega328-PU","footprints:DIP-28_W7.62mm","http://www.microchip.com/mymicrochip/filehandler.aspx?ddocname=en608326","","ED3050-5-ND","On Shore Technology Inc.","ED281DT","N/A","","",""
"21","1","U3","L7805_TO92","HPS:L7805_TO92","footprints:TO-92_Inline","http://www.st.com/content/ccc/resource/technical/document/datasheet/15/55/e5/aa/23/5b/43/fd/CD00000446.pdf/files/CD00000446.pdf/jcr:content/translations/en.CD00000446.pdf","","497-1443-5-ND","STMicroelectronics","L7805CV","N/A","","",""
"22","1","U4","DS1307_DIP-8","HPS:DS1307_DIP-8","footprints:DIP-8_W7.62mm","https://datasheets.maximintegrated.com/en/ds/DS1307.pdf","","AE9986-ND","Assmann WSW Components","A 08-LC-TT","N/A","","",""
"23","2","U5, U6","MAX7219","HPS:MAX7219","footprints:DIP-24_W7.62mm","https://datasheets.maximintegrated.com/en/ds/MAX7219-MAX7221.pdf","","ED3049-5-ND","On Shore Technology Inc.","ED241DT","N/A","","",""
"24","1","Y1","Crystal 16MHZ","HPS:Crystal_16MHz","footprints:Crystal_SMD_HC49-SD","https://ecsxtal.com/store/pdf/csm-7x-dn.pdf","","XC1299CT-ND","ECS Inc.","ECS-160-20-5PXDN-TR","N/A","","",""
"25","1","Y2","Crystal_32768Hz","HPS:Crystal_32768Hz","footprints:Crystal_SMD_2Pin_3.2x1.5mm","https://www.jauch.com/downloadfile/57fde22d50dbf_d3c203011c87952f2834/jtx310-auto-2-210512.pdf","","1908-1314-1-ND","Jauch Quartz","Q 0,032768-JTX310-12,5-20-T1-HMR-50K-LF","N/A","","",""
